Item ID,Section,Question Type,Question Title,Description / Help Text,Required,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Points,CLO / Skill Mapping,Note
B7,SECTION B: ทักษะเชิงเทคนิค (Hard Skills),Multiple choice,การสร้างตารางและกราฟให้มีความชัดเจน (Visualization),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
B8,SECTION B: ทักษะเชิงเทคนิค (Hard Skills),Multiple choice,การอ้างอิงต้นทาง (Citation & Referencing),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
C1,SECTION C: ทักษะทั่วไป (Soft Skills),Multiple choice,การสื่อสารอย่างมีประสิทธิภาพ (Effective Communication),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO1/CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
C2,SECTION C: ทักษะทั่วไป (Soft Skills),Multiple choice,การแก้ปัญหาอย่างสร้างสรรค์ (Problem-Solving),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO1/CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
C3,SECTION C: ทักษะทั่วไป (Soft Skills),Multiple choice,การทำงานเป็นทีมและหรือบทบาทในกลุ่ม (Teamwork & Collaboration),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO1/CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
C4,SECTION C: ทักษะทั่วไป (Soft Skills),Multiple choice,การจัดการเวลาและสไตล์การเรียน (Time Management),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO1/CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
C5,SECTION C: ทักษะทั่วไป (Soft Skills),Multiple choice,ความคิดริเริ่มและความอยากรู้อยากเห็น (Initiative & Curiosity),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO1/CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
C6,SECTION C: ทักษะทั่วไป (Soft Skills),Multiple choice,ความหนักแน่นและการทำงานจนเสร็จสิ้น (Perseverance & Completion),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO1/CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
D1,SECTION D: ความรู้เรื่องเครื่องมือ AI (AI Tools Awareness),Multiple choice,เคยใช้ ChatGPT หรือไม่?,เลือกคำตอบที่ตรงกับประสบการณ์ของตนเอง,TRUE,ก. ไม่เคยใช้เลย,ข. ใช้น้อย,ค. ใช้บ้าง,ง. ใช้บ่อยมาก,,,0,AI literacy/Senior Project support,D5 สามารถใช้เป็นข้อวัดความเข้าใจเชิงทัศนคติได้
D2,SECTION D: ความรู้เรื่องเครื่องมือ AI (AI Tools Awareness),Multiple choice,เคยใช้ Claude (Anthropic) หรือไม่?,เลือกคำตอบที่ตรงกับประสบการณ์ของตนเอง,TRUE,ก. ไม่เคยใช้เลย,ข. ใช้น้อย,ค. ใช้บ้าง,ง. ใช้บ่อยมาก,,,0,AI literacy/Senior Project support,D5 สามารถใช้เป็นข้อวัดความเข้าใจเชิงทัศนคติได้
D3,SECTION D: ความรู้เรื่องเครื่องมือ AI (AI Tools Awareness),Multiple choice,เคยใช้ Google Consensus สำหรับค้นหาบทความวิจัย หรือไม่?,เลือกคำตอบที่ตรงกับประสบการณ์ของตนเอง,TRUE,ก. ไม่เคยใช้เลย,ข. ใช้น้อย,ค. ใช้บ้าง,ง. ใช้บ่อยมาก,,,0,AI literacy/Senior Project support,D5 สามารถใช้เป็นข้อวัดความเข้าใจเชิงทัศนคติได้
D4,SECTION D: ความรู้เรื่องเครื่องมือ AI (AI Tools Awareness),Multiple choice,"เคยใช้เครื่องมือ AI อื่นๆ (เช่น Perplexity, Copilot) หรือไม่?",เลือกคำตอบที่ตรงกับประสบการณ์ของตนเอง,TRUE,ก. ไม่เคยใช้เลย,ข. ใช้น้อย,ค. ใช้บ้าง,ง. ใช้บ่อยมาก,,,0,AI literacy/Senior Project support,D5 สามารถใช้เป็นข้อวัดความเข้าใจเชิงทัศนคติได้
D5,SECTION D: ความรู้เรื่องเครื่องมือ AI (AI Tools Awareness),Multiple choice,คิดว่า AI tools มีประโยชน์ต่อการทำ Senior Project อย่างไร?,เลือกคำตอบที่ตรงกับประสบการณ์ของตนเอง,TRUE,ก. ไม่มีประโยชน์เลย,ข. ช่วยหาข้อมูลและ literature review,ค. ช่วยในการเขียนร่างและจัดโครงสร้างรายงาน,"ง. ก, ข, และ ค ทั้งหมด",,ง,1,AI literacy/Senior Project support,D5 สามารถใช้เป็นข้อวัดความเข้าใจเชิงทัศนคติได้
